Timestamp,Messages per second
1732565897.3409505,0
1732565898.3410273,0
1732565899.3403285,0
1732565900.340341,0
1732565901.3403282,0
1732565902.3403773,0
1732565903.3403416,0
1732565904.34036,0
1732565905.3402011,0
1732565906.3405704,0
1732565907.3405683,0
1732565908.3403227,0
1732565909.3406105,0
1732565910.3406577,0
1732565911.3404088,0
1732565912.3397076,0
1732565913.3414335,0
1732565914.3406417,0
1732565915.340544,0
1732565916.340475,0
1732565917.3406892,0
1732565918.3411732,0
1732565919.339546,0
1732565920.340527,0
1732565921.3403938,0
1732565922.3405182,0
1732565923.3414752,0
1732565924.3404443,0
1732565925.341435,0
1732565926.3407776,0
1732565927.3403502,0
1732565928.341114,0
1732565929.3403006,0
1732565930.3403437,0
1732565931.3408644,0
1732565932.3404803,0
1732565933.3398657,0
1732565934.3398051,0
1732565935.3408933,0
1732565936.341728,0
1732565937.3408039,0
1732565938.3423843,0
1732565939.340861,0
1732565940.340124,0
1732565941.3411944,0
1732565942.3404605,0
1732565943.3408394,0
1732565944.340498,0
1732565945.3417668,0
1732565946.3406997,0
1732565947.3405383,0
1732565948.3404214,0
1732565949.3406694,0
1732565950.3405123,0
1732565951.341363,0
1732565952.3396792,0
1732565953.34065,0
1732565954.3396137,0
1732565955.3396223,0
1732565956.341252,0
1732565957.3405986,0
1732565958.3403175,0
1732565959.3402364,0
1732565960.3406491,0
1732565961.340821,0
1732565962.340281,0
1732565963.3405187,0
1732565964.3405867,0
1732565965.3411772,0
1732565966.3410828,0
1732565967.3398502,0
1732565968.3444328,0
1732565969.3405364,0
1732565970.3406186,0
1732565971.3404124,0
1732565972.34062,0
1732565973.341253,0
1732565974.3405035,0
1732565975.340715,0
1732565976.3406785,0
1732565977.342935,0
1732565978.3405519,0
1732565979.3399215,0
1732565980.3405266,0
1732565981.3415809,0
1732565982.3409264,0
1732565983.3402414,0
1732565984.3404157,0
1732565985.3418765,0
1732565986.3407798,0
1732565987.3405554,0
1732565988.3406615,0
1732565989.3406758,0
1732565990.3404248,0
1732565991.3409207,0
1732565992.3405023,0
1732565993.3423662,0
1732565994.3415935,0
1732565995.3405075,0
1732565996.3408222,0
1732565997.3403592,0
1732565998.3405814,0
1732565999.3403664,0
1732566000.3407376,0
1732566001.3411167,0
1732566002.3404737,0
1732566003.340835,0
1732566004.3405268,0
1732566005.3402686,0
1732566006.3411047,0
1732566007.3405654,0
1732566008.3405335,0
1732566009.3400216,0
1732566010.3394024,0
1732566011.3411372,0
1732566012.3405123,0
1732566013.3404868,0
1732566014.341758,0
1732566015.3404424,0
1732566016.3408792,0
1732566017.341006,0
1732566018.3408368,0
1732566019.3407924,0
1732566020.3408203,0
1732566021.342027,0
1732566022.3405936,0
1732566023.3399377,0
1732566024.3397303,0
1732566025.3407567,0
1732566026.340551,0
1732566027.3405118,0
1732566028.3404756,0
1732566029.340598,0
1732566030.3410487,0
1732566031.340978,0
1732566032.3404858,0
1732566033.3408263,0
1732566034.3403785,0
1732566035.340348,0
1732566036.3407037,0
1732566037.340577,0
1732566038.3398895,0
1732566039.3410754,0
1732566040.3405602,0
1732566041.3411539,0
1732566042.3404672,0
1732566043.3403597,0
1732566044.3400726,0
1732566045.3405488,0
1732566046.3408155,0
1732566047.3404331,0
1732566048.340722,0
1732566049.3407753,0
1732566050.340592,0
1732566051.3406622,0
1732566052.340633,0
1732566053.3411348,0
1732566054.3406851,0
1732566055.3405287,0
1732566056.3408484,0
1732566057.34057,0
1732566058.3401294,0
1732566059.3405557,0
1732566060.3407648,0
1732566061.3406842,0
1732566062.3406608,0
1732566063.341526,0
1732566064.34063,0
1732566065.3413038,0
1732566066.3408358,0
1732566067.3401937,0
1732566068.3405619,0
1732566069.3409395,0
1732566070.3407884,0
1732566071.3408642,0
1732566072.3404891,0
1732566073.3389137,0
1732566074.3403046,0
1732566075.3402941,0
1732566076.341442,0
1732566077.3401735,0
1732566078.34036,0
1732566079.3403804,0
1732566080.340555,0
1732566081.341274,0
1732566082.340372,0
1732566083.3407254,0
1732566084.3406343,0
1732566085.341,0
1732566086.3402443,0
1732566087.3405716,0
1732566088.3404977,0
1732566089.3404534,0
1732566090.3403916,0
1732566091.3406918,0
1732566092.3402822,0
1732566093.3404162,0
1732566094.3409498,0
1732566095.3398516,0
