Timestamp,CPU Load,Used Memory
1733781848.1583452,22.0,278.41
1733781849.1752822,22.0,278.41
1733781850.1868346,21.0,278.41
1733781851.1986494,27.0,278.41
1733781852.2183402,25.0,278.41
1733781853.232261,27.0,278.41
1733781854.2465603,21.0,278.41
1733781855.2599993,20.0,278.41
1733781856.2711499,23.0,278.41
1733781857.2838223,21.0,278.41
1733781858.2965589,26.0,278.41
1733781859.31468,19.0,278.41
1733781860.3246157,25.0,278.41
1733781861.342871,25.9,278.41
1733781862.356754,23.0,278.41
1733781863.3715096,23.0,278.41
1733781864.386741,23.0,278.41
1733781865.4049063,23.9,278.41
1733781866.415994,23.0,278.41
1733781867.4269435,21.0,278.41
1733781868.4420521,22.0,278.41
1733781869.4537206,21.9,278.41
1733781870.471749,22.0,278.41
1733781871.487158,22.9,278.41
1733781872.5009463,23.0,278.41
1733781873.5119596,21.0,278.41
1733781874.5236921,23.0,278.41
1733781875.5403314,21.0,278.41
1733781876.5509267,23.0,278.41
1733781877.570555,20.0,278.41
1733781878.595136,25.0,278.41
1733781879.6091056,25.9,278.41
1733781880.625007,26.0,278.41
1733781881.636915,25.9,278.41
1733781882.6474388,26.9,278.41
1733781883.6595564,29.0,278.41
1733781884.6716282,25.0,278.41
1733781885.6906066,25.9,278.41
1733781886.7091737,26.9,278.41
1733781887.7296543,26.0,278.41
1733781888.7416432,27.0,278.41
1733781889.7585058,23.0,278.41
1733781890.78042,27.0,278.41
1733781891.795758,27.9,278.41
1733781892.807839,29.0,278.41
1733781893.8217463,24.0,278.41
1733781894.8322845,21.0,278.41
1733781895.8435514,21.0,278.41
1733781896.8625104,21.9,278.41
1733781897.8848884,21.9,278.41
1733781898.901966,23.9,278.41
1733781899.9164424,19.0,278.41
1733781900.9362648,21.9,278.41
1733781901.956784,21.0,278.41
1733781902.9757948,23.0,278.41
1733781903.9878285,21.0,278.41
1733781905.0083466,23.0,278.41
1733781906.0185304,21.0,278.41
1733781907.0367246,23.0,278.41
1733781908.0540726,22.0,278.41
1733781909.0719788,23.0,278.41
1733781910.0883267,21.0,278.41
1733781911.1030087,21.9,278.41
1733781912.121268,23.9,278.41
1733781913.1367397,24.0,278.41
1733781914.156884,27.0,278.41
1733781915.1688883,21.0,278.41
1733781916.180408,20.0,278.41
1733781917.1998303,22.0,278.41
1733781918.213623,24.0,278.41
1733781919.228867,22.0,278.41
1733781920.2439737,24.0,278.41
1733781921.2549057,28.0,278.41
1733781922.2650404,24.0,278.41
1733781923.2810302,26.0,278.41
1733781924.2969005,28.0,278.41
1733781925.3083649,25.0,278.41
1733781926.3296158,29.0,278.41
1733781927.341881,24.0,278.41
1733781928.4846864,32.8,278.41
1733781929.5204833,28.0,278.41
1733781930.5351214,25.0,278.41
1733781931.559236,25.0,278.41
1733781932.5750756,20.0,278.41
1733781933.5878158,26.9,278.41
1733781934.6268027,24.0,278.41
1733781935.6423552,24.0,278.41
1733781936.6573758,20.0,278.41
1733781937.674298,23.0,278.41
1733781938.6893723,22.0,278.41
1733781939.7003214,20.0,278.41
