Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
9380,2,21,98,0,6912419,423377,45519,0
9390,2,22,78,0,6912415,398858,31300,0
9400,0,19,80,0,0,373831,32739,0
9410,0,33,79,2,0,7888512,32010,236
9420,1,21,79,0,361,374021,32029,0
9430,3,19,79,0,13824473,373639,32010,0
9440,0,28,79,0,0,548136,32029,0
9450,0,20,79,0,0,423049,32010,0
9460,0,29,79,4,0,14031362,32029,472
9470,0,30,79,0,0,1497812,32010,0
9480,2,26,79,0,6912419,522915,32029,0
9490,2,22,97,0,6912415,398858,44808,0
9500,0,20,61,2,0,6665315,19231,236
9510,0,35,99,0,0,1597346,45680,0
9520,1,23,60,0,361,423759,18520,0
9530,2,20,98,0,6912417,398476,45519,0
9540,1,24,60,0,6912056,448724,18520,0
9550,0,23,98,2,0,473051,45519,232
9560,0,25,60,2,0,6977640,18520,240
9570,0,30,98,0,0,8525985,45519,0
9580,2,23,78,0,6912419,473243,31300,0
9590,2,26,80,0,6912415,498270,32739,0
9600,0,21,79,2,0,374021,32010,236
9610,0,27,81,0,0,7788846,32535,0
9620,1,25,79,0,361,473433,32010,0
9630,2,21,79,0,6912417,423377,32029,0
9640,1,23,79,0,6912056,398984,32010,0
9650,0,23,79,0,0,448396,32029,0
9660,0,29,79,4,0,7813942,32010,472
9670,0,28,81,0,0,7764204,32535,0
9680,2,22,97,0,6912419,448342,44808,0
9690,2,25,61,0,6912415,473433,19231,0
9700,0,24,98,2,0,423885,45519,236
9710,0,26,60,0,0,7739033,18520,0
9720,1,20,98,0,361,374160,45519,0
9730,3,26,60,0,13824473,498334,18520,0
9740,0,25,98,0,0,424077,45519,0
9750,0,21,60,1,0,448014,18520,117
9760,0,31,98,3,0,14031685,45519,355
9770,0,30,78,0,0,1547102,31300,0
9780,2,22,80,0,6912419,398735,32739,0
9790,2,22,79,0,6912415,448342,32010,0
9800,0,31,79,2,0,7838838,32029,236
9810,0,22,79,0,0,398858,32010,0
9820,2,22,79,0,6912417,398858,32029,0
9830,2,23,79,0,6912417,473243,32010,0
9840,0,24,79,0,0,497888,32029,0
9850,0,20,79,2,0,373693,32010,232
9860,0,32,79,2,0,14106065,32029,240
9870,0,29,97,0,0,1522265,44808,0
9880,2,23,61,0,6912419,423759,19231,0
9890,2,20,98,0,6912415,398476,45519,0
