Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
3960,0,28,59,3,0,14006525,18200,355
3970,0,27,98,0,0,1521819,45519,0
3980,2,26,83,0,6912419,498462,33201,0
3990,2,22,75,0,6912415,398922,30838,0
4000,0,27,79,2,0,7788654,32029,236
4010,0,26,79,0,0,498398,32010,0
4020,1,19,82,0,361,373703,32833,0
4030,3,22,76,0,13824473,398795,31206,0
4040,0,23,83,0,0,472987,33201,0
4050,0,24,75,2,0,473297,30838,232
4060,0,28,79,2,0,14055881,32029,240
4070,0,28,83,0,0,1497364,33182,0
4080,2,25,98,0,6912419,473561,45519,0
4090,2,20,56,0,6912415,398540,17348,0
4100,0,25,103,2,0,6690853,47051,236
4110,0,27,62,0,0,1521815,18986,0
4120,2,25,97,0,6912417,473561,45199,0
4130,2,23,56,0,6912417,423823,17348,0
4140,0,22,100,0,0,448150,45963,0
4150,0,17,60,2,0,299182,18520,232
4160,0,23,96,2,0,13980925,45075,240
4170,1,37,80,0,362,1671860,31824,0
4180,1,25,80,0,6912057,424141,32721,0
4190,2,21,79,0,6912415,398529,32029,0
4200,0,31,79,2,0,7814458,32010,236
4210,0,25,85,0,0,473433,33881,0
4220,2,22,78,0,6912417,398858,31690,0
4230,2,23,74,0,6912417,473179,30497,0
4240,0,22,80,0,0,398922,32330,0
4250,0,24,79,2,0,473105,32029,232
4260,0,29,82,2,0,14055941,32862,240
4270,0,28,93,0,0,1497556,43637,0
4280,2,23,61,0,6912419,423823,19230,0
4290,2,23,101,2,6912415,448203,46323,236
4300,0,32,57,0,0,7839231,17716,0
4310,0,20,101,0,0,398540,46323,0
4320,1,26,60,0,361,473557,18528,0
4330,3,19,95,0,13824473,373639,44707,0
4340,0,23,61,0,0,473179,18840,0
4350,0,24,97,2,0,423877,45199,232
4360,0,30,61,2,0,7838715,19231,240
4370,1,26,97,0,362,7763886,44808,0
4380,1,24,85,0,6912057,399240,33881,0
4390,2,19,73,0,6912415,373831,30158,0
4400,0,29,79,2,0,7838456,32029,236
4410,0,23,82,0,0,423695,32814,0
4420,2,19,77,0,6912417,373639,31545,0
4430,2,25,78,0,6912417,473625,31690,0
4440,0,26,79,0,0,498270,32029,0
4450,0,19,82,2,0,373639,32814,232
4460,0,25,92,2,0,7214945,43325,240
4470,0,35,63,0,0,8412931,19910,0
4480,2,24,104,0,6912419,423885,47371,0
4490,2,22,56,0,6912415,398858,17112,0
4500,0,31,96,2,0,7789610,45075,236
4510,0,28,61,0,0,523171,18681,0
4520,2,22,100,0,6912417,398858,45963,0
4530,2,24,58,0,6912417,448724,18076,0
4540,0,23,102,0,0,473051,46691,0
4550,0,21,77,4,0,398594,30950,1610
4560,0,26,74,2,0,6789955,31601,240
4570,0,28,88,0,0,8763036,36604,0
4580,2,22,78,0,6912419,398922,30910,0
4590,2,21,79,1,6912415,374021,32419,119
4600,0,33,81,1,0,7888640,32516,117
4610,0,22,79,0,0,448214,32029,0
4620,1,21,84,0,361,374021,33542,0
4630,3,22,74,0,13824473,448342,30497,0
4640,0,27,79,0,0,498396,32010,0
4650,0,19,79,2,0,398212,32029,232
4660,0,27,81,2,0,14030980,32516,240
4670,1,31,79,0,362,1572067,32029,0
4680,1,22,79,0,6912057,448278,32010,0
4690,2,22,79,0,6912415,398858,32029,0
4700,0,30,83,2,0,7789354,33182,236
4710,0,23,75,0,0,473051,30857,0
4720,2,24,97,0,6912417,448596,44808,0
4730,2,19,66,0,6912417,373639,20763,0
4740,0,27,93,0,0,523235,43987,0
4750,0,23,60,2,0,423823,18520,232
4760,0,21,100,2,0,13906023,45963,240
4770,0,32,81,0,0,1547741,32738,0
4780,2,28,75,0,6912419,548013,30857,0
4790,2,23,79,0,6912415,423759,32010,0
4800,0,27,79,2,0,7739362,32029,236
4810,0,22,79,0,0,448342,32010,0
4820,2,25,81,0,6912417,473433,32473,0
4830,2,21,77,0,6912417,423377,31566,0
4840,0,21,78,0,0,374021,31318,0
4850,0,24,79,2,0,473297,32010,232
4860,0,31,79,2,0,14130392,32029,240
4870,0,27,81,0,0,1472527,32454,0
4880,2,21,77,0,6912419,374213,31585,0
4890,2,26,97,0,6912415,473486,44808,0
4900,0,27,65,2,0,7764210,20403,236
4910,0,22,94,0,0,398858,44347,0
4920,2,24,61,0,6912417,448724,18840,0
4930,2,26,100,0,6912417,498334,46003,0
4940,0,23,57,0,0,423695,17716,0
4950,0,24,98,1,0,448724,45519,117
4960,0,31,78,3,0,14105609,31300,355
4970,0,27,83,0,0,1472591,33543,0
4980,2,22,76,0,6912419,398858,31206,0
4990,2,24,79,2,6912415,448724,32029,236
5000,0,29,79,0,0,7838456,32010,0
5010,0,23,79,0,0,423695,32029,0
5020,2,21,80,0,6912417,374021,32330,0
5030,2,25,82,0,6912417,473498,32881,0
5040,0,26,75,0,0,498270,30838,0
5050,0,20,79,2,0,373693,32029,232
5060,0,32,79,2,0,14106065,32010,240
5070,0,28,79,0,0,1497428,32029,0
5080,2,21,97,0,6912419,423377,44808,0
5090,2,21,61,0,6912415,398529,19231,0
5100,0,32,99,2,0,7789812,45839,236
5110,0,25,61,0,0,522789,18706,0
5120,1,21,101,0,361,398529,45980,0
5130,3,22,79,0,13824473,423834,31660,0
5140,0,23,77,0,0,473051,30958,0
5150,0,19,74,2,0,398212,30128,232
5160,0,30,79,2,0,14056199,32029,240
5170,0,26,79,0,0,1497174,31096,0
5180,2,26,80,0,6912419,498334,32349,0
5190,2,20,78,0,6912415,349184,31690,0
5200,0,26,82,2,0,7714525,32833,236
5210,0,30,80,0,0,548518,32378,0
5220,1,21,75,0,361,423377,30857,0
5230,3,24,97,0,13824473,399240,44808,0
5240,0,22,65,0,0,448342,20403,0
5250,0,23,94,2,0,423823,44347,232
5260,0,31,81,2,0,14130124,32104,240
5270,0,26,80,0,0,1447690,32739,0
5280,2,25,78,0,6912419,473625,31650,0
5290,2,23,77,2,6912415,473051,31585,236
5300,0,27,82,0,0,7739362,32814,0
5310,0,23,76,0,0,473179,31225,0
5320,1,21,79,0,361,398664,32010,0
5330,3,25,81,0,13824473,473433,32473,0
5340,0,23,81,0,0,423695,32738,0
5350,0,23,75,2,0,473243,30857,232
5360,0,28,82,2,0,14031098,32814,240
5370,0,28,76,0,0,1497364,31225,0
5380,2,23,82,0,6912419,473179,32814,0
5390,2,22,76,0,6912415,398922,31225,0
5400,0,28,83,2,0,7813555,33182,236
5410,0,22,75,0,0,398858,30857,0
5420,2,25,97,0,6912417,473561,44808,0
5430,2,20,64,0,6912417,398604,20035,0
5440,0,24,99,0,0,448532,45887,0
5450,0,20,74,2,0,398476,30128,232
5460,0,31,82,2,0,7838961,33183,240
5470,0,29,78,0,0,7739687,31886,0
5480,2,26,80,0,6912419,473495,32153,0
5490,2,20,77,0,6912415,398668,31566,0
5500,0,25,79,2,0,7739044,32029,236
5510,0,28,84,0,0,473815,33343,0
5520,2,23,75,0,6912417,423695,30857,0
5530,2,25,79,0,6912417,473625,32010,0
5540,0,23,81,0,0,473051,32473,0
5550,0,21,77,2,0,374021,31566,232
5560,0,32,83,2,0,14130574,33201,240
5570,0,26,79,0,0,1447754,32010,0
5580,2,25,77,0,6912419,473433,31301,0
5590,2,22,77,0,6912415,423366,31566,0
5600,0,26,79,2,0,7264761,32029,236
5610,0,28,104,0,0,1022748,47197,0
5620,1,20,56,0,361,398476,17348,0
5630,3,25,102,0,13824473,473561,46691,0
5640,0,23,79,0,0,399048,32010,0
5650,0,19,75,2,0,398212,30857,232
5660,0,33,81,2,0,14130710,32516,240
5670,0,29,79,0,0,1522393,32029,0
5680,2,22,82,0,6912419,398986,32814,0
5690,2,22,76,0,6912415,448150,31225,0
5700,0,24,79,2,0,6690660,32010,236
5710,0,28,85,0,0,1546908,33881,0
5720,2,22,73,0,6912417,398922,30158,0
5730,2,22,79,0,6912417,448150,32029,0
5740,0,23,79,0,0,473179,32010,0
5750,0,23,79,2,0,423823,32029,232
5760,0,26,79,2,0,7714397,32010,240
5770,0,30,79,0,0,7813878,32029,0
5780,2,28,82,0,6912419,498721,32814,0
5790,2,20,76,0,6912415,398540,31225,0
5800,0,22,101,2,0,6665697,46323,236
5810,0,27,61,0,0,1522007,19230,0
5820,1,23,94,0,361,423759,44005,0
5830,3,22,78,0,13824473,398922,31300,0
5840,0,25,86,0,0,473369,34591,0
5850,0,26,73,1,0,473679,30158,117
5860,0,30,79,3,0,14056263,32029,355
5870,0,28,79,0,0,1497364,32010,0
5880,2,25,79,0,6912419,473561,32029,0
5890,2,22,79,2,6912415,423430,32010,236
5900,0,28,83,0,0,7739755,33201,0
5910,0,22,79,0,0,448150,32002,0
5920,2,26,75,0,6912417,498398,30865,0
5930,2,21,79,0,6912417,423441,32010,0
5940,0,24,79,0,0,448532,32029,0
5950,0,21,79,2,0,374021,32010,232
5960,0,31,79,2,0,14155093,32029,240
5970,0,26,79,0,0,1447754,32010,0
5980,2,21,82,0,6912419,423313,32833,0
5990,2,26,94,0,6912415,473614,44004,0
6000,0,29,61,2,0,7764592,19231,236
6010,0,20,98,0,0,398540,45519,0
6020,2,23,78,0,6912417,472987,31300,0
6030,2,30,80,0,6912417,499099,32739,0
6040,0,19,83,0,0,373703,33182,0
6050,0,19,79,1,0,373639,32029,117
6060,0,34,75,3,0,14180248,30838,355
6070,0,26,83,0,0,1497046,33201,0
6080,2,24,79,0,6912419,399304,32010,0
6090,2,19,79,0,6912415,373639,32029,0
6100,0,33,79,2,0,7888449,32010,236
6110,0,21,81,0,0,374149,32535,0
6120,2,19,79,0,6912417,373639,32010,0
6130,2,25,75,0,6912417,522853,30857,0
6140,0,24,83,0,0,448596,33182,0
6150,0,19,79,2,0,398212,32029,232
6160,0,25,80,2,0,7190436,32721,240
6170,0,33,76,0,0,8412611,30652,0
6180,2,22,97,0,6912419,448278,44808,0
6190,2,21,60,0,6912415,374021,18520,0
6200,0,22,96,2,0,448150,44097,236
6210,0,32,82,0,0,7863803,32472,0
6220,1,22,79,0,361,398922,32029,0
6230,3,21,73,0,13824473,374021,29418,0
6240,0,28,79,0,0,548072,32029,0
6250,0,20,79,2,0,398540,32010,232
6260,0,30,83,2,0,14056059,33201,240
6270,0,28,75,0,0,1497364,30838,0
6280,2,24,83,0,6912419,498080,33201,0
6290,2,22,91,0,6912415,398922,40885,0
6300,0,24,63,2,0,7714143,21982,236
6310,0,29,97,0,0,523617,44808,0
6320,1,23,83,0,361,448338,33183,0
6330,3,22,80,0,13824473,398922,32739,0
6340,0,24,74,0,0,448532,30128,0
6350,0,20,84,2,0,423177,33911,232
6360,0,34,79,2,0,14106383,32010,240
6370,0,23,75,0,0,1422471,30857,0
6380,2,24,83,0,6912419,448532,33182,0
6390,2,25,79,0,6912415,498133,32029,0
6400,0,27,75,2,0,7764210,30838,236
6410,0,18,83,0,0,299510,33201,0
6420,2,26,79,0,6912417,547690,32010,0
6430,2,13,79,0,6912417,273910,32029,0
6440,0,26,75,0,0,448913,30838,0
6450,0,26,83,0,0,448978,33201,0
6460,0,24,79,4,0,7714137,32010,472
6470,0,29,75,0,0,7739688,30857,0
6480,2,31,101,0,6912419,548580,45980,0
6490,2,24,61,0,6912415,448660,19231,0
6500,0,24,93,2,0,7714143,43636,236
6510,0,30,83,0,0,523617,32634,0
6520,2,24,81,0,6912417,448596,33449,0
6530,2,19,79,0,6912417,373703,32010,0
6540,0,24,75,0,0,448532,30857,0
6550,0,22,83,4,0,472851,33182,1610
6560,0,31,75,2,0,14081164,30857,240
6570,0,25,78,0,0,1422853,31300,0
6580,2,22,83,0,6912419,448150,33201,0
6590,2,24,79,0,6912415,498080,32010,0
6600,0,27,75,2,0,7739426,30857,236
6610,0,22,81,0,0,448150,32516,0
6620,2,25,83,0,6912417,473561,33201,0
6630,2,24,79,0,6912417,448660,32010,0
6640,0,20,75,0,0,373765,30857,0
6650,0,24,83,2,0,448532,33182,232
6660,0,30,81,2,0,14080964,32535,240
6670,0,26,75,0,0,1447754,30838,0
6680,2,24,79,0,6912419,448532,32029,0
6690,2,23,102,0,6912415,473179,46691,0
6700,0,29,74,2,0,7764389,30128,236
6710,0,22,80,0,0,398922,32739,0
6720,2,24,83,0,6912417,448532,33182,0
6730,2,24,79,0,6912417,498080,32029,0
6740,0,23,79,0,0,423759,32010,0
6750,0,21,79,2,0,374021,32029,232
6760,0,33,79,2,0,14155288,32010,240
6770,0,28,79,0,0,1497428,32029,0
6780,2,22,75,0,6912419,398799,30838,0
6790,2,22,83,0,6912415,448150,33201,0
6800,0,30,79,2,0,7814065,32010,236
6810,0,26,75,0,0,449042,30857,0
6820,2,21,79,0,6912417,374021,32010,0
6830,2,27,83,0,6912417,523235,33201,0
6840,0,23,75,0,0,423759,30838,0
6850,0,21,83,2,0,398594,33201,232
6860,0,26,96,2,0,14006143,44097,240
6870,0,32,80,0,0,1596904,32722,0
6880,2,24,75,0,6912419,448660,30856,0
6890,2,19,79,0,6912415,373639,32011,0
6900,0,28,84,2,0,7764199,33911,236
6910,0,24,75,0,0,498080,30838,0
6920,1,23,83,0,361,423759,33201,0
6930,3,21,79,0,13824473,374021,32010,0
6940,0,26,79,0,0,547690,32029,0
6950,0,21,79,2,0,423377,32010,232
6960,0,25,79,2,0,13956587,32029,240
6970,0,28,79,0,0,1497364,32010,0
6980,2,28,75,0,6912419,498844,30857,0
6990,2,22,79,1,6912415,423430,32010,119
7000,0,27,83,1,0,7714854,33201,117
7010,0,28,75,0,0,548072,30838,0
7020,1,21,83,0,361,423377,33201,0
7030,3,24,79,0,13824473,399177,32010,0
7040,0,22,75,0,0,448150,30857,0
7050,0,23,79,2,0,448396,32010,232
7060,0,34,79,2,0,14630417,32029,240
7070,0,21,102,0,0,898055,46691,0
7080,2,27,74,0,6912419,523235,30128,0
7090,2,22,84,0,6912415,448214,33911,0
7100,0,27,79,2,0,7739299,32010,236
7110,0,19,80,0,0,373639,32167,0
7120,1,28,76,0,361,548072,31206,0
7130,2,22,82,0,6912417,448278,32490,0
7140,1,21,79,0,6912056,374021,32010,0
7150,0,20,73,2,0,398604,29435,232
7160,0,31,82,2,0,14154965,32472,240
7170,0,27,81,0,0,1472591,32535,0
7180,2,19,74,0,6912419,373639,30128,0
7190,2,27,79,0,6912415,523235,32029,0
7200,0,24,97,0,0,448660,44808,0
7210,0,24,75,2,0,7714143,27845,236
7220,1,24,84,0,361,448532,36905,0
7230,2,24,83,0,6912417,498080,33182,0
7240,1,23,79,0,6912056,423759,32029,0
7250,0,21,75,1,0,374021,30838,117
7260,0,31,83,3,0,7863476,33201,355
7270,0,26,75,0,0,7714594,30838,0
7280,2,22,79,0,6912419,398922,32029,0
7290,2,19,79,0,6912415,373639,32010,0
7300,0,30,79,2,0,6864649,32029,236
7310,0,25,83,0,0,1472205,33182,0
7320,2,22,75,0,6912417,374145,30857,0
7330,2,27,83,0,6912417,523235,33182,0
7340,0,22,79,0,0,448214,32029,0
7350,0,22,75,2,0,398922,30838,232
7360,0,25,83,2,0,14005815,33201,240
7370,0,32,87,0,0,1596904,38041,0
7380,2,24,67,0,6912419,448660,24826,0
7390,2,19,97,0,6912415,373639,44808,0
7400,0,25,83,2,0,6740208,33183,236
7410,0,28,76,0,0,1546908,31567,0
7420,2,23,78,0,6912417,423759,31300,0
7430,2,21,84,0,6912417,374021,33911,0
7440,0,26,79,0,0,547690,32010,0
7450,0,20,79,1,0,373757,32029,117
7460,0,30,79,3,0,14056263,32010,355
7470,1,28,79,0,362,1497238,32029,0
7480,1,27,79,0,6912057,498588,32010,0
7490,2,21,75,0,6912415,423377,30857,0
7500,0,22,83,2,0,6665697,33182,236
7510,0,34,80,0,0,1572445,32190,0
7520,2,25,75,0,6912417,424141,30838,0
7530,2,20,83,0,6912417,398540,33201,0
7540,0,24,79,0,0,448532,32010,0
7550,0,24,79,2,0,473297,32029,232
7560,0,29,94,2,0,14080718,42675,240
7570,0,23,60,0,0,1373179,20192,0
7580,2,24,102,0,6912419,498016,46691,0
7590,2,23,56,0,6912415,448267,17348,0
7600,0,28,102,2,0,7739755,46691,236
7610,0,19,76,0,0,373639,30634,0
7620,1,28,84,0,361,548072,33911,0
7630,3,22,79,0,13824473,448278,32010,0
7640,0,20,79,0,0,373765,32029,0
7650,0,22,78,2,0,448342,31642,232
7660,0,33,78,2,0,14155283,31731,240
7670,0,25,83,0,0,1472209,33182,0
7680,2,21,78,0,6912419,374021,31318,0
7690,2,27,75,0,6912415,523235,30838,0
7700,0,23,81,0,0,448404,31779,0
7710,0,27,97,2,0,7739362,44809,236
7720,2,19,60,0,6912417,373639,18520,0
7730,2,28,93,0,6912417,548136,43637,0
7740,0,23,75,0,0,423759,27502,0
7750,0,19,80,2,0,373639,35449,232
7760,0,26,81,2,0,13031953,32388,240
7770,0,31,84,0,0,2570707,33911,0
7780,2,26,79,0,6912419,448855,32010,0
7790,2,21,79,0,6912415,374021,32029,0
7800,0,27,75,2,0,6839430,30838,236
7810,0,27,83,0,0,1472587,33201,0
7820,1,21,79,0,361,374021,32010,0
7830,3,24,75,0,13824473,448724,30857,0
7840,0,25,83,0,0,473433,33182,0
7850,0,21,79,2,0,423377,32029,232
7860,0,27,75,2,0,7739357,30838,240
7870,0,29,83,0,0,7789233,33201,0
7880,2,22,75,0,6912419,448278,30838,0
7890,2,22,83,0,6912415,398858,33201,0
7900,0,29,93,2,0,7789228,43636,236
7910,0,25,65,0,0,473433,20403,0
7920,2,22,98,0,6912417,448214,45519,0
7930,2,21,56,0,6912417,374021,17348,0
7940,0,25,102,0,0,522853,46691,0
7950,0,23,79,2,0,423823,32010,232
