Timestamp,Messages per second
1735847974.9780512,0
1735847975.9793696,10
1735847976.9774594,10
1735847977.978785,10
1735847978.9798627,10
1735847979.9776313,10
1735847980.9792573,10
1735847981.9795363,10
1735847982.9790158,10
1735847983.978324,10
1735847984.985043,10
1735847985.9798918,10
1735847986.9777527,10
1735847987.9823575,10
1735847988.980792,10
1735847989.9777858,10
1735847990.977875,10
1735847991.9786458,10
1735847992.9889805,10
1735847993.977257,9
1735847994.9777024,11
1735847995.978967,10
1735847996.978022,9
1735847997.9778848,11
1735847998.9787254,10
1735847999.9778688,9
1735848000.977068,10
1735848001.978435,11
1735848002.9776073,4
1735848003.9906526,6
1735848004.989502,20
1735848005.977806,9
1735848006.9878242,10
1735848007.9778562,11
1735848008.9772227,10
1735848009.9771388,10
1735848010.9790332,10
1735848011.978025,10
1735848012.9793165,9
1735848013.9777431,11
1735848014.979205,10
1735848015.978031,10
1735848016.9776926,10
1735848017.9780924,10
1735848018.9783916,10
1735848019.9784179,8
1735848020.9776356,12
1735848021.978692,10
1735848022.9789863,10
1735848023.9831586,10
1735848024.9784405,10
1735848025.9773996,10
1735848026.9780898,10
1735848027.9782162,10
1735848028.9775867,10
1735848029.9794726,10
1735848030.9773052,10
1735848031.9776292,9
1735848032.977671,10
1735848033.9782693,7
1735848034.9782948,12
1735848035.9783137,11
1735848036.9781384,10
1735848037.9784386,11
1735848038.9780395,10
1735848039.9782028,10
1735848040.992837,10
1735848041.978176,10
1735848042.9778163,10
1735848043.9775288,10
1735848044.979021,10
1735848045.9784925,10
1735848046.9781287,10
1735848047.9781578,9
1735848048.9786217,11
1735848049.978298,9
1735848050.9799268,11
1735848051.9781802,9
1735848052.9798703,10
1735848053.9775567,10
1735848054.9782076,11
1735848055.9779768,9
1735848056.9789097,11
1735848057.9780512,9
1735848058.977463,10
1735848059.9775765,11
1735848060.977057,10
1735848061.977533,10
1735848062.9784412,10
1735848063.9779136,9
1735848064.9779146,11
1735848065.978633,10
1735848066.9821253,10
1735848067.9777994,10
1735848068.9809542,10
1735848069.9774847,10
1735848070.9781177,10
1735848071.9782624,10
1735848072.9774802,10
1735848073.9773252,10
1735848074.9784296,10
1735848075.979138,10
1735848076.977334,10
1735848077.9785314,10
1735848078.9792094,10
1735848079.9783268,10
1735848080.978085,10
1735848081.9777353,10
1735848082.9778883,10
1735848083.9780428,10
1735848084.9778419,10
1735848085.9776409,10
1735848086.9774864,10
1735848087.9788888,10
1735848088.978244,10
1735848089.9781086,10
1735848090.9993773,10
1735848091.9775646,10
1735848092.9788172,10
1735848093.977342,10
1735848094.978087,10
1735848095.978023,10
1735848096.979802,10
1735848097.982919,10
1735848098.9783268,10
1735848099.9778824,10
1735848100.9779422,10
1735848101.9774182,10
1735848102.9779303,10
1735848103.9787128,10
1735848104.982744,10
1735848105.9775712,10
1735848106.9773264,10
1735848107.9790232,10
1735848108.977469,10
1735848109.9781358,10
1735848110.9774952,10
1735848111.9778342,10
1735848112.9782746,10
1735848113.9785354,10
1735848114.9774241,10
1735848115.9777892,10
1735848116.9797537,10
1735848117.9781995,10
1735848118.9772778,10
1735848119.9784384,10
1735848120.9669752,10
1735848121.968857,10
1735848122.971644,10
1735848123.9693801,10
1735848124.968903,10
1735848125.9689841,10
1735848126.9695847,10
1735848127.9699514,10
1735848128.9696245,10
1735848129.9750364,10
1735848130.9692073,10
1735848131.9694574,10
1735848132.9689915,10
1735848133.9697087,10
1735848134.9697425,10
1735848135.9689734,10
1735848136.9694757,10
1735848137.9716578,10
1735848138.970053,10
1735848139.9701574,10
1735848140.9695783,10
1735848141.968802,10
1735848142.9699488,10
1735848143.9699733,10
1735848144.969551,10
1735848145.9696019,10
1735848146.9708982,10
1735848147.9697978,10
1735848148.9695864,10
1735848149.9697368,10
1735848150.9680395,10
1735848151.9699771,10
1735848152.9716358,10
1735848153.9689198,10
1735848154.9747875,10
1735848155.969344,10
1735848156.9702313,10
1735848157.969022,10
1735848158.969821,10
1735848159.9716506,10
1735848160.9697616,10
1735848161.9692485,10
1735848162.9703348,10
1735848163.9725406,10
1735848164.9690838,10
1735848165.969784,10
1735848166.9781306,10
1735848167.9690511,10
1735848168.969707,10
1735848169.9691775,10
1735848170.9717324,10
1735848171.9746761,10
1735848172.9707181,10
1735848173.969601,10
1735848174.9698699,10
1735848175.9729838,10
1735848176.9693592,10
1735848177.9695098,10
1735848178.9743195,10
1735848179.9699073,7
1735848180.9674735,0
1735848181.9700186,0
1735848182.969783,0
1735848183.9699764,0
1735848184.9706364,0
1735848185.9698932,0
1735848186.9718504,0
1735848187.9716246,0
1735848188.9699712,0
1735848189.9694889,0
1735848190.9699678,0
1735848191.9697723,0
1735848192.9722712,0
1735848193.9740427,0
1735848194.9690914,0
1735848195.9699566,0
1735848196.9704404,0
1735848197.9704492,0
1735848198.9698672,0
1735848199.9699633,0
1735848200.9700356,0
1735848201.9696796,0
1735848202.9695287,0
1735848203.971298,0
1735848204.9689028,0
1735848205.9700344,0
1735848206.9701362,0
1735848207.9692776,0
1735848208.9708254,0
1735848209.969281,0
1735848210.9732306,0
1735848211.968826,0
1735848212.9691727,0
1735848213.9699452,0
1735848214.9693315,0
1735848215.9693956,0
1735848216.9689767,0
1735848217.9729972,0
1735848218.9699502,0
1735848219.9701874,0
1735848220.9737785,0
1735848221.9691696,0
1735848222.9695778,0
1735848223.969201,0
1735848224.9697459,0
1735848225.9702592,0
1735848226.968978,0
1735848227.9724152,0
1735848228.9690495,0
1735848229.9713757,0
1735848230.9699247,0
1735848231.96986,0
1735848232.9689941,0
1735848233.9693134,0
1735848234.9699337,0
1735848235.9689019,0
1735848236.968986,0
1735848237.9703248,0
1735848238.9694343,0
1735848239.9699986,0
1735848240.9685621,0
1735848241.9695034,0
1735848242.971333,0
1735848243.969165,0
1735848244.9696307,0
1735848245.970958,0
1735848246.9714935,0
1735848247.9697797,0
1735848248.9691443,0
1735848249.9802194,0
1735848250.9690232,0
1735848251.9690225,0
1735848252.9700797,0
1735848253.9689438,0
1735848254.9706564,0
1735848255.9692736,0
1735848256.9695816,0
1735848257.9686685,0
1735848258.9689496,0
1735848259.9698665,0
1735848260.9698763,0
1735848261.9696507,0
1735848262.9697092,0
1735848263.9690342,0
1735848264.9690638,0
1735848265.9714193,0
1735848266.9689882,0
1735848267.9687777,0
1735848268.9725995,0
1735848269.968703,0
1735848270.9700778,0
1735848271.9701974,0
1735848272.9731338,0
1735848273.9695535,0
1735848274.969196,0
1735848275.9712145,0
1735848276.975626,0
1735848277.9720767,0
1735848278.9789088,0
1735848279.9698007,0
1735848280.9691021,0
1735848281.9701455,0
1735848282.969439,0
1735848283.9700828,0
1735848284.9694347,0
1735848285.9726405,0
1735848286.9686835,0
1735848287.9738941,0
1735848288.9740052,0
1735848289.9713638,0
1735848290.972492,0
1735848291.9700055,0
1735848292.9713314,0
1735848293.9698944,0
1735848294.9748309,0
1735848295.970739,0
1735848296.9734254,0
1735848297.9699929,0
1735848298.970159,0
1735848299.9695485,0
1735848300.9692018,3
1735848301.9692001,10
1735848302.9691238,10
1735848303.9693222,10
1735848304.9700174,10
1735848305.9703932,10
1735848306.9728565,10
1735848307.9700916,10
1735848308.969225,10
1735848309.9690533,10
1735848310.9729068,10
1735848311.9694297,10
1735848312.9725285,10
1735848313.9714806,10
1735848314.9693491,10
1735848315.9699743,10
1735848316.969729,10
1735848317.9704068,10
1735848318.969366,10
1735848319.9714909,10
1735848320.969412,10
1735848321.9718387,10
1735848322.9703958,10
1735848323.9690483,10
1735848324.9695828,10
1735848325.972966,10
1735848326.9693055,10
1735848327.977056,10
1735848328.9700305,10
1735848329.969867,10
1735848330.969401,10
1735848331.9701152,10
1735848332.9712474,10
1735848333.9714365,10
1735848334.9793267,10
1735848335.9728465,10
1735848336.970337,10
1735848337.9692035,10
1735848338.9693422,10
1735848339.970445,9
1735848340.9725716,11
1735848341.9702067,10
1735848342.9700708,10
1735848343.969571,10
1735848344.9725206,10
1735848345.9722512,10
1735848346.970022,10
1735848347.970163,10
1735848348.9695115,10
1735848349.9737022,10
1735848350.9702418,10
1735848351.9697628,10
1735848352.9734447,10
1735848353.9709015,10
1735848354.9709454,10
1735848355.9690883,10
1735848356.9711373,10
1735848357.972134,10
1735848358.9710066,10
1735848359.9725811,10
1735848360.972237,10
1735848361.971363,10
1735848362.9713414,10
1735848363.9703352,10
1735848364.9701183,10
1735848365.9699047,10
1735848366.9693472,10
1735848367.9695222,10
1735848368.9797826,10
1735848369.9719265,10
1735848370.9709666,10
1735848371.9720197,10
1735848372.972998,10
1735848373.9716406,10
1735848374.9726372,10
1735848375.9752429,10
1735848376.9706228,10
1735848377.9700162,10
1735848378.971979,10
1735848379.9707308,10
1735848380.9724448,10
1735848381.9699075,10
1735848382.9729514,10
1735848383.9693534,10
1735848384.9695442,10
1735848385.9707632,10
1735848386.9717314,10
1735848387.9740944,10
1735848388.972668,10
1735848389.9699392,10
1735848390.9725513,10
1735848391.9702244,10
1735848392.9691575,10
1735848393.9700644,10
1735848394.9741285,10
1735848395.9699962,10
1735848396.9711373,10
1735848397.970067,10
1735848398.979552,10
1735848399.9703536,10
1735848400.9693434,10
1735848401.9700353,10
1735848402.969251,10
1735848403.9700258,10
1735848404.9702067,10
1735848405.97002,10
1735848406.973718,10
1735848407.9699183,10
1735848408.971641,10
1735848409.9691074,10
1735848410.9714694,10
1735848411.9704273,10
1735848412.9698796,10
1735848413.972324,10
1735848414.9725409,10
1735848415.9693058,10
1735848416.9732327,10
1735848417.9690032,10
1735848418.9697006,10
1735848419.9691815,10
1735848420.971152,10
1735848421.9704542,10
1735848422.9704971,10
1735848423.9743657,10
1735848424.9704437,10
1735848425.9694679,10
1735848426.97014,10
1735848427.9691026,10
1735848428.9692087,10
1735848429.9691825,10
1735848430.969907,10
