Topic Statistics:
Topic: /lidar/right/reflec_image, Cycle Time: 0:00:00.099994, Total Data Size: 26220800 bytes, Data Rate: 2.53 Mbytes/s, Max Size: 262208 bytes, Min Size: 262208 bytes
Topic: /camera/stereo_right/camera_info, Cycle Time: 0:00:00.100002, Total Data Size: 36200 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 362 bytes, Min Size: 362 bytes
Topic: /camera/stereo_right/image_raw, Cycle Time: 0:00:00.100005, Total Data Size: 691205700 bytes, Data Rate: 66.58 Mbytes/s, Max Size: 6912057 bytes, Min Size: 6912057 bytes
Topic: /camera/front_left/camera_info, Cycle Time: 0:00:00.100001, Total Data Size: 36000 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 360 bytes, Min Size: 360 bytes
Topic: /camera/front_left/image_raw, Cycle Time: 0:00:00.100002, Total Data Size: 691205500 bytes, Data Rate: 66.58 Mbytes/s, Max Size: 6912055 bytes, Min Size: 6912055 bytes
Topic: /lidar/left/points, Cycle Time: 0:00:00.100062, Total Data Size: 629167600 bytes, Data Rate: 60.57 Mbytes/s, Max Size: 6291676 bytes, Min Size: 6291676 bytes
Topic: /lidar/left/nearir_image, Cycle Time: 0:00:00.100092, Total Data Size: 25958493 bytes, Data Rate: 2.52 Mbytes/s, Max Size: 262207 bytes, Min Size: 262207 bytes
Topic: /lidar/left/range_image, Cycle Time: 0:00:00.100093, Total Data Size: 25958493 bytes, Data Rate: 2.52 Mbytes/s, Max Size: 262207 bytes, Min Size: 262207 bytes
Topic: /lidar/left/signal_image, Cycle Time: 0:00:00.100093, Total Data Size: 25958493 bytes, Data Rate: 2.52 Mbytes/s, Max Size: 262207 bytes, Min Size: 262207 bytes
Topic: /lidar/left/reflec_image, Cycle Time: 0:00:00.100093, Total Data Size: 25958493 bytes, Data Rate: 2.52 Mbytes/s, Max Size: 262207 bytes, Min Size: 262207 bytes
Topic: /gnss_2/llh_position, Cycle Time: 0:00:00.499826, Total Data Size: 2700 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 135 bytes, Min Size: 135 bytes
Topic: /gnss_2/velocity, Cycle Time: 0:00:00.499826, Total Data Size: 7420 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 371 bytes, Min Size: 371 bytes
Topic: /gnss_1/llh_position, Cycle Time: 0:00:00.499894, Total Data Size: 2700 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 135 bytes, Min Size: 135 bytes
Topic: /gnss_1/velocity, Cycle Time: 0:00:00.499894, Total Data Size: 7420 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 371 bytes, Min Size: 371 bytes
Topic: /lidar/left/os_nodelet_mgr/bond, Cycle Time: 0:00:00.153229, Total Data Size: 7640 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 131 bytes, Min Size: 125 bytes
Topic: /ekf/status, Cycle Time: 0:00:01.000010, Total Data Size: 1610 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 161 bytes, Min Size: 161 bytes
Topic: /lidar/right/os_nodelet_mgr/bond, Cycle Time: 0:00:00.154932, Total Data Size: 7700 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 132 bytes, Min Size: 126 bytes
