Timestamp,Messages per second
1737224081.8990595,1
1737224082.9107585,11
1737224083.8989637,10
1737224084.9001276,10
1737224085.9024537,10
1737224086.8981001,10
1737224087.8990076,9
1737224088.8991687,10
1737224089.9111958,11
1737224090.8988442,9
1737224091.9068909,11
1737224092.8980448,10
1737224093.8990357,9
1737224094.8992856,10
1737224095.8981857,10
1737224096.9089024,11
1737224097.8991115,10
1737224098.9007585,9
1737224099.8989708,10
1737224100.898991,10
1737224101.8986685,11
1737224102.8992722,9
1737224103.8988178,10
1737224104.8990078,10
1737224105.898974,10
1737224106.8990235,11
1737224107.899463,9
1737224108.8993137,10
1737224109.8992987,10
1737224110.8989785,10
1737224111.8993478,11
1737224112.8990326,9
1737224113.9010568,11
1737224114.9055407,10
1737224115.9083874,10
1737224116.8990748,10
1737224117.8998728,9
1737224118.8991792,10
1737224119.8991122,10
1737224120.900066,11
1737224121.900655,10
1737224122.9027097,10
1737224123.9094217,10
1737224124.9004202,10
1737224125.8990448,9
1737224126.9208248,11
1737224127.8995132,9
1737224128.9033241,11
1737224129.8982654,9
1737224130.8990777,10
1737224131.8986235,11
1737224132.8991253,9
1737224133.8992448,11
1737224134.9015865,10
1737224135.90306,10
1737224136.898942,10
1737224137.8979878,9
1737224138.8993924,10
1737224139.8993683,10
1737224140.8993015,10
1737224141.9038792,11
1737224142.9024458,9
1737224143.8984365,10
1737224144.8985236,10
1737224145.8993804,11
1737224146.8992064,9
1737224147.899404,11
1737224148.8993056,10
1737224149.906714,10
1737224150.8990443,9
1737224151.8985853,11
1737224152.9001215,10
1737224153.8995616,9
1737224154.8988097,10
1737224155.8981867,11
1737224156.9041307,10
1737224157.9042668,10
1737224158.8991141,9
1737224159.8991458,10
1737224160.8995292,10
1737224161.8993254,9
1737224162.8990676,11
1737224163.8992968,11
1737224164.8986099,9
1737224165.8997524,10
1737224166.899888,11
1737224167.9005492,9
1737224168.898759,11
1737224169.899264,9
1737224170.899744,10
1737224171.8991842,11
1737224172.907826,10
1737224173.8980117,10
1737224174.9010756,10
1737224175.9003422,10
1737224176.8991947,10
1737224177.8985515,10
1737224178.8994472,10
1737224179.9028313,10
1737224180.8997142,9
1737224181.8997815,11
1737224182.8983972,10
1737224183.8990927,10
1737224184.9008136,10
1737224185.9017038,10
1737224186.898735,10
1737224187.8983636,10
1737224188.8990922,10
1737224189.9050303,10
1737224190.8994806,10
1737224191.8997328,10
1737224192.8988547,9
1737224193.9154124,10
1737224194.8986046,11
1737224195.8985705,10
1737224196.909802,10
1737224197.8941288,10
1737224198.896961,10
1737224199.8979535,10
1737224200.8971465,10
1737224201.9017334,10
1737224202.9019303,10
1737224203.9008212,10
1737224204.8989844,10
1737224205.8965833,10
1737224206.9014008,10
1737224207.8965814,10
1737224208.8971815,10
1737224209.9008014,10
1737224210.8975992,10
1737224211.8973427,10
1737224212.8973062,10
1737224213.8979704,10
1737224214.8977864,10
1737224215.9028022,10
1737224216.8994584,10
1737224217.8985152,10
1737224218.9019985,10
1737224219.9102468,10
1737224220.8964949,10
1737224221.897381,10
1737224222.8969457,10
