Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737218930.2649379,263.5,379.98,219.6,309.42,24.0,32.25,19.9,38.31
1737218932.2824833,116.0,391.33,81.0,317.16,28.0,35.86,7.0,38.31
1737218934.3031569,103.9,405.79,77.9,325.02,18.0,42.46,8.0,38.31
1737218936.3136694,103.8,412.1,73.8,331.3,22.0,42.46,8.0,38.34
1737218938.3453596,99.9,420.22,68.9,339.45,23.0,42.46,8.0,38.31
1737218940.3717494,226.2,551.1,110.4,448.08,103.8,64.54,12.0,38.48
1737218942.383806,111.2,582.98,80.3,473.29,22.9,71.21,8.0,38.48
1737218944.3947318,106.9,595.4,78.9,485.81,22.0,71.11,6.0,38.48
1737218946.4049819,109.9,584.85,81.9,481.94,22.0,64.43,6.0,38.48
1737218948.4294147,102.5,585.25,75.5,482.2,21.0,64.57,6.0,38.48
1737218950.4402235,102.3,585.42,78.4,482.49,17.9,64.45,6.0,38.48
1737218952.44991,108.9,590.32,80.9,487.4,23.0,64.44,5.0,38.48
1737218954.4651906,102.9,600.59,78.9,491.0,19.0,71.11,5.0,38.48
1737218956.4759388,98.8,586.37,75.8,483.27,19.0,64.62,4.0,38.48
1737218958.4863477,90.0,582.5,68.0,483.27,17.0,64.56,5.0,34.67
1737218960.4973128,74.9,579.85,61.9,483.27,9.0,58.13,4.0,38.45
1737218962.5100434,87.8,579.66,66.9,483.27,16.9,57.94,4.0,38.45
1737218964.5251477,101.8,592.33,80.8,483.28,15.0,70.61,6.0,38.44
1737218966.5377557,102.0,591.62,75.0,488.56,23.0,64.62,4.0,38.44
1737218968.5659225,99.9,586.63,74.9,483.67,20.0,64.52,5.0,38.44
1737218970.5768297,88.9,590.63,65.9,494.23,19.0,57.96,4.0,38.44
1737218972.5975904,95.0,591.62,74.0,488.56,18.0,64.62,3.0,38.44
1737218974.6124122,103.8,593.11,77.8,490.16,21.0,64.51,5.0,38.44
1737218976.623007,69.5,586.69,50.6,483.73,10.9,64.55,8.0,38.41
1737218978.6389806,93.9,593.37,69.9,490.5,19.0,64.46,5.0,38.41
1737218980.6499794,38.0,583.62,34.0,487.13,3.0,58.08,1.0,38.41
