Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737209717.342655,203.4,336.31,179.4,276.35,8.0,30.9,16.0,29.06
1737209719.3517644,104.5,351.35,40.7,286.36,37.8,33.74,26.0,31.25
1737209721.3732066,132.8,376.67,97.9,290.74,15.0,34.77,19.9,51.16
1737209723.3944607,177.8,414.42,140.9,294.05,17.9,42.14,19.0,78.23
1737209725.4211757,61.9,402.32,38.9,294.83,18.0,44.14,5.0,63.35
1737209727.437329,145.9,404.56,123.9,297.21,18.0,44.14,4.0,63.21
1737209729.4648848,140.5,399.74,97.9,300.3,24.7,44.14,17.9,55.3
1737209731.4919288,165.5,482.37,124.6,305.07,20.9,44.14,20.0,133.16
1737209733.5308158,120.3,489.31,94.3,306.86,21.0,44.14,5.0,138.31
1737209735.540673,93.7,449.21,68.8,307.63,18.9,44.14,6.0,97.44
1737209737.5541177,91.2,413.3,66.3,308.72,21.9,44.14,3.0,60.44
1737209739.595488,154.5,427.6,107.6,314.14,28.9,44.14,18.0,69.32
1737209741.6191623,245.5,470.49,128.7,337.74,100.8,57.5,16.0,75.25
1737209743.6703086,218.7,501.59,138.8,366.76,73.9,70.64,6.0,64.19
1737209745.6949244,124.9,550.55,110.9,426.7,6.0,70.64,8.0,53.21
1737209747.7257392,133.8,580.46,121.8,455.72,8.0,77.4,4.0,47.34
1737209749.7442503,96.5,580.8,82.7,456.06,5.9,77.4,7.9,47.34
1737209751.7769682,151.7,603.62,121.7,460.06,14.0,77.4,16.0,66.16
1737209753.7977302,164.0,655.23,130.0,468.62,19.0,77.4,15.0,109.21
1737209755.8196762,121.3,646.73,103.4,464.99,5.9,77.4,12.0,104.34
1737209757.8366096,131.9,649.76,116.9,465.18,5.0,77.4,10.0,107.18
1737209759.8448164,136.7,630.9,112.7,466.19,12.0,77.4,12.0,87.31
1737209761.8628912,133.9,639.17,120.9,465.43,12.0,77.4,1.0,96.34
1737209763.8802695,139.6,629.27,117.6,465.69,6.0,77.4,16.0,86.18
1737209765.8996994,161.9,658.14,139.9,470.58,14.0,77.4,8.0,110.16
1737209767.9181986,145.7,650.42,117.8,465.74,12.0,77.4,15.9,107.28
1737209769.9459774,158.9,671.89,127.0,459.11,13.0,77.4,18.9,135.38
1737209771.9702938,163.9,689.88,125.9,476.33,20.0,77.4,18.0,136.15
1737209773.9799557,157.5,685.71,129.5,474.03,15.0,77.4,13.0,134.28
1737209775.999536,137.7,622.12,121.7,471.45,14.0,77.4,2.0,73.27
1737209778.009338,90.0,594.32,68.0,469.65,22.0,77.4,0.0,47.27
1737209780.0235722,71.0,595.87,49.0,471.2,21.0,77.4,1.0,47.27
1737209782.0355425,69.9,605.66,47.9,480.99,22.0,77.4,0.0,47.27
1737209784.047189,70.8,599.99,48.8,475.32,22.0,77.4,0.0,47.27
1737209786.0581617,72.9,594.58,50.9,469.91,22.0,77.4,0.0,47.27
1737209788.070275,70.9,594.58,50.9,469.91,20.0,77.4,0.0,47.27
1737209790.08219,72.0,594.58,51.0,469.91,21.0,77.4,0.0,47.27
1737209792.0927753,67.9,594.58,46.9,469.91,21.0,77.4,0.0,47.27
1737209794.1073678,70.0,594.84,48.0,470.17,22.0,77.4,0.0,47.27
1737209796.120117,70.8,594.84,47.8,470.17,23.0,77.4,0.0,47.27
1737209798.1359463,71.9,599.73,49.9,475.06,21.0,77.4,1.0,47.27
1737209800.150643,67.9,594.84,45.9,470.17,22.0,77.4,0.0,47.27
1737209802.1609552,71.8,594.84,48.8,470.17,23.0,77.4,0.0,47.27
1737209804.1735113,71.9,604.75,51.0,480.08,19.9,77.4,1.0,47.27
1737209806.1839218,64.9,594.96,45.9,470.29,19.0,77.4,0.0,47.27
1737209808.1960337,66.9,595.22,46.9,470.55,20.0,77.4,0.0,47.27
1737209810.2071342,70.0,594.96,50.0,470.29,20.0,77.4,0.0,47.27
1737209812.2219436,70.8,594.96,49.8,470.29,21.0,77.4,0.0,47.27
1737209814.2389486,73.0,602.69,49.0,478.02,23.0,77.4,1.0,47.27
1737209816.252499,76.0,599.86,54.0,475.19,22.0,77.4,0.0,47.27
1737209818.2650745,64.9,595.27,45.9,470.6,19.0,77.4,0.0,47.27
1737209820.2765958,68.9,595.27,45.9,470.6,22.0,77.4,1.0,47.27
1737209822.2870831,69.9,600.68,48.9,476.01,21.0,77.4,0.0,47.27
1737209824.3038564,66.8,599.39,45.9,474.72,20.9,77.4,0.0,47.27
1737209826.3165739,66.9,600.17,47.9,475.5,19.0,77.4,0.0,47.27
1737209828.3279743,70.9,599.14,50.9,474.47,20.0,77.4,0.0,47.27
1737209830.345131,63.8,600.94,43.9,476.27,18.9,77.4,1.0,47.27
1737209832.3553028,60.9,595.27,42.9,470.6,18.0,77.4,0.0,47.27
1737209834.3727307,64.9,600.68,44.9,476.01,19.0,77.4,1.0,47.27
1737209836.3860798,55.9,595.27,39.9,470.6,16.0,77.4,0.0,47.27
1737209838.3988562,70.5,600.43,50.5,475.76,19.0,77.4,1.0,47.27
1737209840.412998,69.9,595.27,48.9,470.6,21.0,77.4,0.0,47.27
1737209842.423962,67.7,595.27,44.8,470.6,22.9,77.4,0.0,47.27
1737209844.4560404,64.9,600.17,44.9,475.5,20.0,77.4,0.0,47.27
1737209846.4683719,66.5,595.27,45.5,470.6,21.0,77.4,0.0,47.27
1737209848.498341,66.8,595.27,44.9,470.6,21.9,77.4,0.0,47.27
1737209850.5115547,75.9,596.3,51.9,471.63,24.0,77.4,0.0,47.27
